"행정구역(시군구)별",2021. 04,2021. 04,2021. 04,2021. 05,2021. 05,2021. 05,2021. 06,2021. 06,2021. 06
"행정구역(시군구)별",총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
"울릉군",9035,4961,4074,9032,4963,4069,8990,4935,4055
"경상남도",3329623,1676550,1653073,3327298,1675389,1651909,3325840,1674612,1651228
"창원시",1034705,524287,510418,1034130,524029,510101,1034527,524225,510302
"의창구",260623,132638,127985,260346,132480,127866,260018,132314,127704
"성산구",212662,108658,104004,212396,108541,103855,212180,108457,103723
"마산합포구",179434,89323,90111,179657,89458,90199,180374,89785,90589
"마산회원구",189134,94775,94359,188784,94581,94203,188525,94463,94062
"진해구",192852,98893,93959,192947,98969,93978,193430,99206,94224
"진주시",347056,171584,175472,347274,171697,175577,347204,171653,175551
"통영시",126798,63718,63080,126587,63585,63002,126413,63516,62897
"사천시",110461,55738,54723,110371,55696,54675,110414,55729,54685
"사천남양출장소",0,0,0,0,0,0,0,0,0
"김해시",540686,273479,267207,540423,273340,267083,539841,273017,266824
"장유출장소",0,0,0,0,0,0,0,0,0
"밀양시",104383,51224,53159,104133,51149,52984,104070,51109,52961
"거제시",243902,127950,115952,243484,127683,115801,243200,127510,115690
"양산시",353291,177200,176091,353415,177197,176218,353686,177308,176378
"양산시웅상출장소",0,0,0,0,0,0,0,0,0
"의령군",26624,13069,13555,26627,13089,13538,26526,13035,13491
"함안군",63573,32279,31294,63267,32137,31130,63157,32088,31069
"창녕군",60951,30349,30602,60972,30363,30609,60754,30247,30507
"고성군",51009,25603,25406,50987,25578,25409,50933,25551,25382
"남해군",42688,20629,22059,42690,20649,22041,42650,20633,22017
"하동군",44326,22133,22193,44223,22080,22143,44065,22015,22050
"산청군",34668,17048,17620,34641,17016,17625,34587,16992,17595
"함양군",39008,18824,20184,38860,18778,20082,38793,18746,20047
"거창군",61877,30361,31516,61646,30255,31391,61555,30214,31341
"합천군",43617,21075,22542,43568,21068,22500,43465,21024,22441
"제주특별자치도",674484,338422,336062,674877,338566,336311,675293,338766,336527
"제주시",492168,246287,245881,492383,246373,246010,492627,246476,246151
"서귀포시",182316,92135,90181,182494,92193,90301,182666,92290,90376
